ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
1	3	8001	0.897632	13	0.632829	6.51648	550484.8965	9797749.159	63.507801
2	3	8003	0.6589	7	0.34098	2.077636	550476.9986	9797785.47	66.265602
3	3	8004	0.684365	12	0.367845	3.535687	550466.6566	9797793.32	68.247002
4	3	8005	0.716196	13	0.402859	4.14418	550473.1135	9797775.249	66.265602
5	3	8007	0.779857	14	0.477662	5.233366	550452.8676	9797802.388	68.247002
6	3	8011	0.725745	14	0.413674	4.530833	550447.8616	9797838.241	70.039001
7	3	8013	0.630252	11	0.311974	2.784965	550476.6726	9797857.356	70.452904
8	3	8016	0.636618	13	0.318308	3.272679	550443.9756	9797867.092	70.806396
9	3	8017	0.531576	11	0.221933	1.979655	550482.2267	9797893.541	70.283798
10	3	8019	0.668449	13	0.350935	3.608921	550481.9171	9797970.216	72.352997
11	3	8022	0.939012	13	0.69252	7.132585	550466.3521	9797991	74.533401
12	3	8023	0.668449	12	0.350935	3.372791	550457.1221	9797997.856	74.533401
13	3	8024	0.78304	17	0.481569	6.217445	550467.5666	9798001.292	74.533401
14	3	8025	0.636618	12	0.318308	3.058549	550470.5746	9798018.755	76.076897
15	3	8026	0.684365	16	0.367845	4.509174	550481.8778	9798045.912	75.935402
16	3	8028	0.620703	12	0.302592	2.907202	550475.948	9798057.308	76.570297
17	3	8030	0.716196	16	0.402859	4.939397	550481.0171	9798096.17	76.842201
18	3	8033	0.572956	12	0.25783	2.476251	550476.8314	9798165.88	81.467003
19	3	8036	0.735294	12	0.424631	4.082828	550481.791	9798289.319	84.148598
20	3	8038	1.002674	16	0.789604	9.695888	550456.3659	9798409.759	80.631104
21	3	8039	0.592055	15	0.275305	3.193503	550462.3739	9798417.716	80.631104
22	3	8040	0.598421	14	0.281257	3.077847	550465.0429	9798417.273	80.631104
23	3	8041	0.728928	17	0.41731	5.38608	550484.2584	9798428.969	81.699799
24	3	8042	0.544309	12	0.232691	2.2343	550479.091	9798534.154	79.6511
25	3	8043	0.655717	12	0.337693	3.245247	550487.6377	9798537.91	79.6511
26	3	8044	0.636618	12	0.318308	3.058549	550473.953	9798526.197	78.246803
27	3	8045	0.903998	17	0.641837	8.291998	550478.207	9798557.698	79.6511
28	3	8047	0.560224	13	0.246498	2.532905	550482.3499	9798584.306	80.161003
29	3	8048	1.018589	14	0.814869	8.938627	550473.0069	9798585.082	79.442001
30	3	8050	0.636618	12	0.318308	3.058549	550463.067	9798579.035	79.442001
31	3	8053	0.70028	17	0.385153	4.970142	550455.701	9798478.782	78.205803
32	3	8054	0.859435	10	0.580117	4.784425	550476.147	9798403.945	82.180496
33	3	8056	0.954927	18	0.716194	9.713103	550484.93	9798389.463	82.703003
34	3	8058	0.636618	16	0.318308	3.900665	550433.059	9798225.774	81.568703
35	3	8059	0.592055	10	0.275305	2.26673	550456.523	9798210.625	82.935501
36	3	8060	0.795773	17	0.497357	6.421749	550426.704	9798164.318	80.355499
37	3	8061	0.830787	17	0.542087	7.000652	550423.921	9798154.26	78.821899
38	3	8064	0.719379	16	0.406448	4.9835	550457.839	9798136.456	79.654503
39	3	8065	0.611154	14	0.293353	3.210517	550451.387	9798131.594	79.654503
40	3	8070	0.592055	12	0.275305	2.644476	550457.925	9798034.874	76.076897
41	3	8071	0.636618	13	0.318308	3.272679	550437.791	9798025.705	75.881203
42	3	8072	0.652534	16	0.334423	4.098592	550447.576	9798016.197	76.076897
43	3	8074	0.795773	13	0.497357	5.118698	550444.563	9797976.405	72.798698
44	3	8077	0.636618	14	0.318308	3.484274	550468.918	9797964.24	72.798401
45	3	8079	0.636618	16	0.318308	3.900665	550484.82	9797953.956	72.352997
46	3	8080	0.821238	16	0.529697	6.49854	550478.949	9797934.067	71.016296
47	3	8081	0.677998	16	0.361033	4.425486	550470.242	9797921.021	71.240601
48	3	8082	0.6589	13	0.34098	3.506318	550439.984	9797901.243	70.881104
49	3	8085	0.56659	17	0.252132	3.250495	550454.434	9797866.642	70.452904
50	3	8087	0.652534	16	0.334423	4.098592	550484.904	9797847.511	68.7202
51	3	8088	0.789407	12	0.489431	4.70738	550468.662	9797830.714	70.039001
