ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
1	3	8000	0.52521	12	0.216649	2.079924	550481.813	9797693.973	60.309101
2	3	8002	0.636618	6	0.318308	1.702255	550473.9946	9797782.376	66.265602
3	3	8006	0.515661	12	0.208842	2.004812	550470.1115	9797776.907	66.265602
4	3	8008	0.518844	13	0.211428	2.171795	550472.5486	9797821.323	68.247002
5	3	8009	0.509295	14	0.203717	2.227697	550482.4466	9797818.336	67.056503
6	3	8010	0.515661	13	0.208842	2.145169	550471.3276	9797832.045	70.039001
7	3	8012	0.493379	13	0.191184	1.963399	550454.0906	9797843.987	70.039001
8	3	8014	0.620703	12	0.302592	2.907202	550478.6746	9797859.124	69.7659
9	3	8015	0.572956	16	0.25783	3.158041	550456.3216	9797869.299	70.452904
10	3	8018	0.493379	12	0.191184	1.834935	550481.4547	9797919.406	71.016296
11	3	8020	0.557041	12	0.243705	2.340295	550469.4621	9797977.404	74.533401
12	3	8021	0.490196	13	0.188725	1.93809	550456.3391	9797980.391	74.533401
13	3	8027	0.522027	10	0.214031	1.761228	550479.954	9798064.934	75.935402
14	3	8029	0.70028	12	0.385153	3.702432	550473.952	9798079.305	77.045502
15	3	8031	0.954927	13	0.716194	7.376975	550481.1223	9798119.091	77.908501
16	3	8032	0.487013	10	0.186282	1.53241	550476.7863	9798126.609	77.767998
17	3	8034	0.52521	10	0.216649	1.78282	550472.3824	9798168.423	81.467003
18	3	8035	0.78304	16	0.481569	5.906817	550462.4854	9798173.842	81.467003
19	3	8037	0.496562	12	0.193659	1.858742	550478.0815	9798337.778	84.1315
20	3	8046	0.477464	12	0.179048	1.718208	550481.213	9798569.856	80.161003
21	3	8049	0.763942	10	0.458364	3.778283	550428.811	9798582.913	78.600998
22	3	8051	0.515661	13	0.208842	2.145169	550457.725	9798567.762	79.442001
23	3	8052	0.620703	12	0.302592	2.907202	550463.061	9798554.054	78.594101
24	3	8055	0.795773	14	0.497357	5.449648	550474.365	9798392.339	82.180496
25	3	8057	0.611154	12	0.293353	2.818241	550457.451	9798361.615	82.910599
26	3	8062	0.811688	16	0.51745	6.347955	550430.371	9798150.28	78.821899
27	3	8063	0.518844	11	0.211428	1.885752	550440.713	9798145.966	78.821899
28	3	8066	1.273237	11	1.273234	11.402069	550437.039	9798131.376	78.821899
29	3	8067	0.572956	16	0.25783	3.158041	550440.034	9798098.768	76.7696
30	3	8068	0.789407	16	0.489431	6.003472	550454.048	9798097.106	77.045502
31	3	8069	0.471098	10	0.174306	1.433675	550462.605	9798071.46	77.045502
32	3	8073	0.496562	16	0.193659	2.370513	550436.667	9797979.06	74.491798
33	3	8075	0.585689	12	0.269416	2.587785	550456.354	9797979.939	74.533401
34	3	8076	0.502928	13	0.198656	2.040313	550458.131	9797969.88	72.798401
35	3	8078	0.515661	11	0.208842	1.862633	550473.031	9797956.17	72.798401
36	3	8083	0.531576	8	0.221933	1.512406	550448.322	9797884.55	70.753403
37	3	8084	0.506112	12	0.201179	1.931085	550453.657	9797873.163	70.452904
38	3	8086	0.862618	12	0.584422	5.623255	550487.582	9797881.003	69.7659
39	3	8096	0.560224	12	0.246498	2.367179	550477.9127	9797733.183	63.507801
40	3	8100	0.798956	13	0.501344	5.159822	550460.826	9797633.964	58.030701
41	3	8103	1.044054	14	0.856122	9.392189	550413.562	9797654.315	61.981899
42	3	8106	1.085434	18	0.92533	12.556673	550414.684	9797692.559	63.3568
43	3	8109	0.531576	12	0.221933	2.130767	550418.03	9797729.146	63.645401
44	3	8110	0.604787	14	0.287273	3.143832	550422.929	9797748.377	65.134697
45	3	8111	0.611154	12	0.293353	2.818241	550431.272	9797753.57	65.134697
46	3	8113	0.636618	14	0.318308	3.484274	550447.743	9797795.238	68.247002
47	3	8117	0.684365	13	0.367845	3.78322	550413.83	9797834.155	70.7976
48	3	8121	0.531576	18	0.221933	3.001951	550399.058	9797915.843	70.846199
49	3	8123	0.668449	16	0.350935	4.301428	550409.974	9797977.74	73.507599
50	3	8125	0.528393	16	0.219283	2.684916	550404.536	9798026.819	74.783798
51	3	8126	0.595238	12	0.278273	2.673052	550416.886	9798042.622	76.388901
52	3	8130	0.954927	16	0.716194	8.792525	550416.678	9798101.206	77.312202
53	3	8132	0.528393	12	0.219283	2.105269	550403.778	9798108.946	76.0121
54	3	8133	1.273237	15	1.273234	14.820329	550389.765	9798110.829	76.0121
55	3	8136	1.295518	10	1.318187	10.891634	550390.677	9798201.467	79.139099
56	3	8139	0.541126	12	0.229978	2.208186	550417.491	9798237.826	81.568703
57	3	8140	0.52521	11	0.216649	1.932418	550415.934	9798239.153	81.568703
58	3	8142	0.954927	14	0.716194	7.853934	550431.398	9798253.629	81.568703
59	3	8143	0.595238	11	0.278273	2.483481	550412.609	9798285.578	78.2929
60	3	8145	0.636618	16	0.318308	3.900665	550381.242	9798274.864	75.649399
61	3	8147	0.52521	11	0.216649	1.932418	550392.706	9798307.027	78.2929
62	3	8153	0.477464	14	0.179048	1.957369	550413.513	9798342.172	78.683296
63	3	8154	0.557041	12	0.243705	2.340295	550406.618	9798343.611	78.683296
64	3	8156	0.970843	16	0.740266	9.088728	550385.816	9798332.01	78.683296
65	3	8158	1.257321	12	1.241602	11.966847	550444.661	9798364.603	81.210503
66	3	8159	0.757576	14	0.450757	4.937944	550454.342	9798381.512	82.180496
67	3	8160	0.289661	11	0.065898	0.58621	550434.434	9798386.049	80.935097
68	3	8162	0.502928	10	0.198656	1.634441	550406.521	9798400.868	79.152199
69	3	8163	0.534759	18	0.224598	3.038092	550441.343	9798439.214	78.157799
70	3	8164	0.512478	15	0.206272	2.391173	550447.692	9798474.363	78.205803
71	3	8165	0.604787	9	0.287273	2.16391	550436.015	9798478.898	77.230301
72	3	8167	0.52521	12	0.216649	2.079924	550405.327	9798517.261	76.581398
73	3	8173	1.241406	10	1.210368	9.99885	550357.512	9798559.166	75.854698
74	3	8174	0.572956	12	0.25783	2.476251	550373.191	9798546.34	75.854698
75	3	8177	0.630252	12	0.311974	2.997549	550357.153	9798457.805	75.580299
76	3	8178	0.954927	16	0.716194	8.792525	550377.505	9798454.595	75.580299
77	3	8182	0.531576	13	0.221933	2.279943	550377.035	9798350.913	76.319
78	3	8183	0.954927	12	0.716194	6.894304	550378.466	9798292.772	75.524498
79	3	8185	0.636618	16	0.318308	3.900665	550356.524	9798169.752	75.3451
80	3	8187	1.018589	12	0.814869	7.846464	550372.634	9798102.764	74.101196
81	3	8189	0.493379	12	0.191184	1.834935	550354.584	9797973.554	70.378998
82	3	8191	0.496562	16	0.193659	2.370513	550341.569	9797966.704	67.773598
83	3	8197	0.795773	14	0.497357	5.449648	550378.264	9797932.871	69.590897
84	3	8198	0.547492	12	0.235421	2.260568	550370.142	9797921.93	69.590897
85	3	8206	0.52521	12	0.216649	2.079924	550368.781	9797816.259	70.275299
86	3	8210	0.528393	10	0.219283	1.804545	550397.677	9797730.588	65.981499
87	3	8219	0.604787	16	0.287273	3.519538	550308.24	9797673.464	65.083801
88	3	8224	0.541126	14	0.229978	2.515548	550342.4	9797735.244	67.7938
89	3	8227	0.534759	12	0.224598	2.15642	550306.262	9797767.861	68.781601
90	3	8228	0.522027	12	0.214031	2.054733	550324.632	9797841.03	70.8302
91	3	8231	0.557041	13	0.243705	2.50414	550321.092	9797918.184	65.218201
92	3	8233	0.859435	14	0.580117	6.358671	550302.749	9797951.902	64.564201
93	3	8235	0.636618	13	0.318308	3.272679	550243.187	9798162.928	57.958199
94	3	8239	0.541126	13	0.229978	2.362782	550286.587	9798256.318	63.239201
95	3	8241	0.74166	12	0.432016	4.153994	550282.034	9798286.275	63.807301
96	3	8243	0.522027	12	0.214031	2.054733	550288.503	9798356.02	65.2248
97	3	8244	0.528393	15	0.219283	2.54235	550284.611	9798358.564	65.2248
98	3	8247	0.611154	16	0.293353	3.594193	550310.008	9798511.205	70.434502
99	3	8249	0.87535	10	0.601802	4.963676	550285.997	9798564.931	66.747803
100	3	8251	0.557041	9	0.243705	1.835048	550290.784	9798580.294	66.747803
101	3	8252	0.563407	12	0.249307	2.394216	550225.713	9798560.193	56.545601
102	3	8253	0.572956	12	0.25783	2.476251	550250.141	9798397.591	60.913799
103	3	8255	0.487013	13	0.186282	1.912946	550234.284	9798144.36	57.933899
104	3	8256	0.614337	14	0.296417	3.244123	550253.519	9798117.606	57.785198
105	3	8259	0.499745	16	0.19615	2.401071	550277.379	9797906.037	64.320297
106	3	8260	0.579323	16	0.263591	3.22877	550260.796	9797863.485	62.369301
107	3	8261	0.859435	16	0.580117	7.11857	550261.684	9797859.284	65.7957
108	3	8262	0.512478	15	0.206272	2.391173	550262.24	9797855.415	65.7957
109	3	8267	0.477464	11	0.179048	1.596355	550302.267	9797804.117	69.590302
110	3	8270	0.458365	8	0.165011	1.123753	550289.239	9797747.858	65.894302
111	3	8273	0.763942	16	0.458364	5.621569	550253.522	9797688.4	61.756901
112	3	8276	0.579323	10	0.263591	2.170072	550272.983	9797675.573	63.9011
113	3	8279	0.512478	11	0.206272	1.839657	550277.083	9797616.767	60.563499
114	3	8280	0.588872	13	0.272353	2.799204	550242.718	9797624.735	58.900299
115	3	8281	0.636618	14	0.318308	3.484274	550229.193	9797801.704	59.995098
116	3	8282	0.6589	10	0.34098	2.808818	550161.913	9798281.662	54.592701
