id	x	y	z
1	548903.4933	9797602.967	93.601799
2	548933.4933	9797602.967	91.949898
3	548963.4933	9797602.967	90.694702
4	548993.4933	9797602.967	89.695099
5	549023.4933	9797602.967	89.091499
6	549053.4933	9797602.967	88.603897
7	549083.4933	9797602.967	88.241501
8	549113.4933	9797602.967	87.609001
9	549143.4933	9797602.967	86.616798
10	549173.4933	9797602.967	85.603897
11	549203.4933	9797602.967	84.925003
12	549233.4933	9797602.967	84.667198
13	549263.4933	9797602.967	84.517197
14	549293.4933	9797602.967	84.452103
15	549323.4933	9797602.967	84.024002
16	549353.4933	9797602.967	83.663803
17	549383.4933	9797602.967	82.894997
18	549413.4933	9797602.967	81.741798
19	549443.4933	9797602.967	80.406097
20	549473.4933	9797602.967	79.424698
21	549503.4933	9797602.967	78.876099
22	549533.4933	9797602.967	78.482903
23	549563.4933	9797602.967	77.879799
24	549593.4933	9797602.967	77.252197
25	549623.4933	9797602.967	76.5578
26	549653.4933	9797602.967	75.8283
27	549683.4933	9797602.967	75.016998
28	549713.4933	9797602.967	73.9189
29	549743.4933	9797602.967	72.772499
30	549773.4933	9797602.967	71.510002
31	549803.4933	9797602.967	70.497902
32	549833.4933	9797602.967	69.774902
33	549863.4933	9797602.967	69.525803
34	549893.4933	9797602.967	68.766296
35	549923.4933	9797602.967	66.985497
36	549953.4933	9797602.967	63.123699
37	549983.4933	9797602.967	63.123699
38	550013.4933	9797602.967	58.9865
39	550043.4933	9797602.967	55.7211
40	550073.4933	9797602.967	54.592701
41	550103.4933	9797602.967	54.592701
42	550133.4933	9797602.967	54.592701
43	550163.4933	9797602.967	54.592701
44	550193.4933	9797602.967	54.592701
45	550223.4933	9797602.967	55.4865
46	550253.4933	9797602.967	57.016602
47	550283.4933	9797602.967	58.305199
48	550313.4933	9797602.967	59.131901
49	550343.4933	9797602.967	58.9972
50	550373.4933	9797602.967	58.410702
51	550403.4933	9797602.967	57.504601
52	550433.4933	9797602.967	56.766201
53	550463.4933	9797602.967	56.0163
54	550493.4933	9797602.967	55.320599
55	548903.4933	9797632.967	94.5718
56	548933.4933	9797632.967	92.620499
57	548963.4933	9797632.967	91.175598
58	548993.4933	9797632.967	90.103996
59	549023.4933	9797632.967	89.423103
60	549053.4933	9797632.967	89.078102
61	549083.4933	9797632.967	88.730103
62	549113.4933	9797632.967	88.310303
63	549143.4933	9797632.967	87.491096
64	549173.4933	9797632.967	86.666298
65	549203.4933	9797632.967	85.887802
66	549233.4933	9797632.967	85.754204
67	549263.4933	9797632.967	85.8834
68	549293.4933	9797632.967	86.295898
69	549323.4933	9797632.967	86.486397
70	549353.4933	9797632.967	86.095398
71	549383.4933	9797632.967	85.048698
72	549413.4933	9797632.967	83.642502
73	549443.4933	9797632.967	82.139999
74	549473.4933	9797632.967	80.769897
75	549503.4933	9797632.967	80.042099
76	549533.4933	9797632.967	79.590599
77	549563.4933	9797632.967	79.391701
78	549593.4933	9797632.967	78.783096
79	549623.4933	9797632.967	77.8741
80	549653.4933	9797632.967	76.352699
81	549683.4933	9797632.967	75.189697
82	549713.4933	9797632.967	74.055702
83	549743.4933	9797632.967	73.040802
84	549773.4933	9797632.967	71.824203
85	549803.4933	9797632.967	70.781799
86	549833.4933	9797632.967	70.427399
87	549863.4933	9797632.967	70.316498
88	549893.4933	9797632.967	69.4757
89	549923.4933	9797632.967	66.9589
90	549953.4933	9797632.967	62.7589
91	549983.4933	9797632.967	62.7589
92	550013.4933	9797632.967	58.327
93	550043.4933	9797632.967	54.8097
94	550073.4933	9797632.967	54.592701
95	550103.4933	9797632.967	54.592701
96	550133.4933	9797632.967	54.592701
97	550163.4933	9797632.967	54.592701
98	550193.4933	9797632.967	55.384602
99	550223.4933	9797632.967	56.949001
100	550253.4933	9797632.967	58.900299
101	550283.4933	9797632.967	60.563499
102	550313.4933	9797632.967	61.368801
103	550343.4933	9797632.967	61.251099
104	550373.4933	9797632.967	60.5732
105	550403.4933	9797632.967	59.790401
106	550433.4933	9797632.967	58.9352
107	550463.4933	9797632.967	58.030701
108	550493.4933	9797632.967	57.087299
109	548903.4933	9797662.967	95.721901
110	548933.4933	9797662.967	93.645699
111	548963.4933	9797662.967	91.959999
112	548993.4933	9797662.967	90.544701
113	549023.4933	9797662.967	90.001602
114	549053.4933	9797662.967	89.5224
115	549083.4933	9797662.967	89.072197
116	549113.4933	9797662.967	88.7164
117	549143.4933	9797662.967	88.289398
118	549173.4933	9797662.967	87.728302
119	549203.4933	9797662.967	86.876801
120	549233.4933	9797662.967	86.842697
121	549263.4933	9797662.967	87.035599
122	549293.4933	9797662.967	88.063904
123	549323.4933	9797662.967	88.424797
124	549353.4933	9797662.967	88.388802
125	549383.4933	9797662.967	87.2621
126	549413.4933	9797662.967	85.178101
127	549443.4933	9797662.967	83.112099
128	549473.4933	9797662.967	81.192398
129	549503.4933	9797662.967	80.7453
130	549533.4933	9797662.967	80.525101
131	549563.4933	9797662.967	80.7939
132	549593.4933	9797662.967	79.753601
133	549623.4933	9797662.967	78.278
134	549653.4933	9797662.967	76.377197
135	549683.4933	9797662.967	75.167297
136	549713.4933	9797662.967	73.949997
137	549743.4933	9797662.967	73.033699
138	549773.4933	9797662.967	71.942299
139	549803.4933	9797662.967	71.018303
140	549833.4933	9797662.967	70.929497
141	549863.4933	9797662.967	70.7724
142	549893.4933	9797662.967	69.846199
143	549923.4933	9797662.967	67.094398
144	549953.4933	9797662.967	62.7742
145	549983.4933	9797662.967	62.7742
146	550013.4933	9797662.967	57.9347
147	550043.4933	9797662.967	54.592701
148	550073.4933	9797662.967	54.592701
149	550103.4933	9797662.967	54.592701
150	550133.4933	9797662.967	54.592701
151	550163.4933	9797662.967	54.666199
152	550193.4933	9797662.967	56.478401
153	550223.4933	9797662.967	58.410702
154	550253.4933	9797662.967	60.706699
155	550283.4933	9797662.967	62.565601
156	550313.4933	9797662.967	63.5215
157	550343.4933	9797662.967	63.4091
158	550373.4933	9797662.967	62.659302
159	550403.4933	9797662.967	61.981899
160	550433.4933	9797662.967	61.017502
161	550463.4933	9797662.967	59.928699
162	550493.4933	9797662.967	58.794998
163	548903.4933	9797692.967	96.876297
164	548933.4933	9797692.967	94.927498
165	548963.4933	9797692.967	93.092499
166	548993.4933	9797692.967	91.524803
167	549023.4933	9797692.967	90.523499
168	549053.4933	9797692.967	89.7948
169	549083.4933	9797692.967	89.299004
170	549113.4933	9797692.967	88.919098
171	549143.4933	9797692.967	88.5849
172	549173.4933	9797692.967	88.330399
173	549203.4933	9797692.967	88.023499
174	549233.4933	9797692.967	88.027397
175	549263.4933	9797692.967	88.216797
176	549293.4933	9797692.967	88.812698
177	549323.4933	9797692.967	89.299202
178	549353.4933	9797692.967	89.270599
179	549383.4933	9797692.967	88.259499
180	549413.4933	9797692.967	85.849602
181	549443.4933	9797692.967	83.280403
182	549473.4933	9797692.967	81.427902
183	549503.4933	9797692.967	80.984802
184	549533.4933	9797692.967	80.943802
185	549563.4933	9797692.967	80.6726
186	549593.4933	9797692.967	79.480301
187	549623.4933	9797692.967	77.9776
188	549653.4933	9797692.967	76.294701
189	549683.4933	9797692.967	75.115501
190	549713.4933	9797692.967	74.0513
191	549743.4933	9797692.967	73.023903
192	549773.4933	9797692.967	71.963402
193	549803.4933	9797692.967	71.067802
194	549833.4933	9797692.967	70.7118
195	549863.4933	9797692.967	70.500298
196	549893.4933	9797692.967	69.621498
197	549923.4933	9797692.967	67.220901
198	549953.4933	9797692.967	63.0033
199	549983.4933	9797692.967	63.0033
200	550013.4933	9797692.967	58.487598
201	550043.4933	9797692.967	54.844501
202	550073.4933	9797692.967	54.592701
203	550103.4933	9797692.967	54.592701
204	550133.4933	9797692.967	54.592701
205	550163.4933	9797692.967	54.6614
206	550193.4933	9797692.967	56.747898
207	550223.4933	9797692.967	59.172199
208	550253.4933	9797692.967	61.756901
