id	x	y	z	inclinacao
1	548903.4933	9797602.967	93.601799	1
2	548933.4933	9797602.967	91.949898	1
3	548963.4933	9797602.967	90.694702	1
4	548993.4933	9797602.967	89.695099	1
5	549023.4933	9797602.967	89.091499	1
6	549053.4933	9797602.967	88.603897	1
7	549083.4933	9797602.967	88.241501	1
8	549113.4933	9797602.967	87.609001	1
9	549143.4933	9797602.967	86.616798	1
10	549173.4933	9797602.967	85.603897	1
11	549203.4933	9797602.967	84.925003	1
12	549233.4933	9797602.967	84.667198	1
13	549263.4933	9797602.967	84.517197	1
14	549293.4933	9797602.967	84.452103	1
15	549323.4933	9797602.967	84.024002	1
16	549353.4933	9797602.967	83.663803	2
17	549383.4933	9797602.967	82.894997	1
18	549413.4933	9797602.967	81.741798	1
19	549443.4933	9797602.967	80.406097	1
20	549473.4933	9797602.967	79.424698	1
21	549503.4933	9797602.967	78.876099	1
22	549533.4933	9797602.967	78.482903	1
23	549563.4933	9797602.967	77.879799	1
24	549593.4933	9797602.967	77.252197	1
25	549623.4933	9797602.967	76.5578	1
26	549653.4933	9797602.967	75.8283	1
27	549683.4933	9797602.967	75.016998	1
28	549713.4933	9797602.967	73.9189	1
29	549743.4933	9797602.967	72.772499	1
30	549773.4933	9797602.967	71.510002	1
31	549803.4933	9797602.967	70.497902	1
32	549833.4933	9797602.967	69.774902	1
33	549863.4933	9797602.967	69.525803	1
34	549893.4933	9797602.967	68.766296	1
35	549923.4933	9797602.967	66.985497	2
36	549953.4933	9797602.967	63.123699	3
37	549983.4933	9797602.967	63.123699	3
38	550013.4933	9797602.967	58.9865	3
39	550043.4933	9797602.967	55.7211	1
40	550073.4933	9797602.967	54.592701	1
41	550103.4933	9797602.967	54.592701	1
42	550133.4933	9797602.967	54.592701	1
43	550163.4933	9797602.967	54.592701	1
44	550193.4933	9797602.967	54.592701	1
45	550223.4933	9797602.967	55.4865	1
46	550253.4933	9797602.967	57.016602	1
47	550283.4933	9797602.967	58.305199	1
48	550313.4933	9797602.967	59.131901	1
49	550343.4933	9797602.967	58.9972	1
50	550373.4933	9797602.967	58.410702	1
51	550403.4933	9797602.967	57.504601	1
52	550433.4933	9797602.967	56.766201	1
53	550463.4933	9797602.967	56.0163	1
54	550493.4933	9797602.967	55.320599	1
55	548903.4933	9797632.967	94.5718	1
56	548933.4933	9797632.967	92.620499	1
57	548963.4933	9797632.967	91.175598	1
58	548993.4933	9797632.967	90.103996	1
59	549023.4933	9797632.967	89.423103	1
60	549053.4933	9797632.967	89.078102	1
61	549083.4933	9797632.967	88.730103	1
62	549113.4933	9797632.967	88.310303	1
63	549143.4933	9797632.967	87.491096	1
64	549173.4933	9797632.967	86.666298	1
65	549203.4933	9797632.967	85.887802	1
66	549233.4933	9797632.967	85.754204	1
67	549263.4933	9797632.967	85.8834	1
68	549293.4933	9797632.967	86.295898	1
69	549323.4933	9797632.967	86.486397	1
70	549353.4933	9797632.967	86.095398	1
71	549383.4933	9797632.967	85.048698	1
72	549413.4933	9797632.967	83.642502	1
73	549443.4933	9797632.967	82.139999	1
74	549473.4933	9797632.967	80.769897	1
75	549503.4933	9797632.967	80.042099	1
76	549533.4933	9797632.967	79.590599	1
77	549563.4933	9797632.967	79.391701	1
78	549593.4933	9797632.967	78.783096	1
79	549623.4933	9797632.967	77.8741	1
80	549653.4933	9797632.967	76.352699	1
81	549683.4933	9797632.967	75.189697	1
82	549713.4933	9797632.967	74.055702	1
83	549743.4933	9797632.967	73.040802	1
84	549773.4933	9797632.967	71.824203	1
85	549803.4933	9797632.967	70.781799	1
86	549833.4933	9797632.967	70.427399	1
87	549863.4933	9797632.967	70.316498	1
88	549893.4933	9797632.967	69.4757	1
89	549923.4933	9797632.967	66.9589	3
90	549953.4933	9797632.967	62.7589	3
91	549983.4933	9797632.967	62.7589	3
92	550013.4933	9797632.967	58.327	3
93	550043.4933	9797632.967	54.8097	1
94	550073.4933	9797632.967	54.592701	1
95	550103.4933	9797632.967	54.592701	1
96	550133.4933	9797632.967	54.592701	1
97	550163.4933	9797632.967	54.592701	1
98	550193.4933	9797632.967	55.384602	1
99	550223.4933	9797632.967	56.949001	1
100	550253.4933	9797632.967	58.900299	2
101	550283.4933	9797632.967	60.563499	1
102	550313.4933	9797632.967	61.368801	1
103	550343.4933	9797632.967	61.251099	1
104	550373.4933	9797632.967	60.5732	1
105	550403.4933	9797632.967	59.790401	1
106	550433.4933	9797632.967	58.9352	1
107	550463.4933	9797632.967	58.030701	1
108	550493.4933	9797632.967	57.087299	1
109	548903.4933	9797662.967	95.721901	1
110	548933.4933	9797662.967	93.645699	1
111	548963.4933	9797662.967	91.959999	1
112	548993.4933	9797662.967	90.544701	1
113	549023.4933	9797662.967	90.001602	1
114	549053.4933	9797662.967	89.5224	1
115	549083.4933	9797662.967	89.072197	1
116	549113.4933	9797662.967	88.7164	1
117	549143.4933	9797662.967	88.289398	1
118	549173.4933	9797662.967	87.728302	1
119	549203.4933	9797662.967	86.876801	1
120	549233.4933	9797662.967	86.842697	1
121	549263.4933	9797662.967	87.035599	1
122	549293.4933	9797662.967	88.063904	1
123	549323.4933	9797662.967	88.424797	1
124	549353.4933	9797662.967	88.388802	1
125	549383.4933	9797662.967	87.2621	1
126	549413.4933	9797662.967	85.178101	1
127	549443.4933	9797662.967	83.112099	1
128	549473.4933	9797662.967	81.192398	1
129	549503.4933	9797662.967	80.7453	1
130	549533.4933	9797662.967	80.525101	1
131	549563.4933	9797662.967	80.7939	1
132	549593.4933	9797662.967	79.753601	1
133	549623.4933	9797662.967	78.278	1
134	549653.4933	9797662.967	76.377197	1
135	549683.4933	9797662.967	75.167297	1
136	549713.4933	9797662.967	73.949997	1
137	549743.4933	9797662.967	73.033699	1
138	549773.4933	9797662.967	71.942299	1
139	549803.4933	9797662.967	71.018303	1
140	549833.4933	9797662.967	70.929497	1
141	549863.4933	9797662.967	70.7724	1
142	549893.4933	9797662.967	69.846199	1
143	549923.4933	9797662.967	67.094398	3
144	549953.4933	9797662.967	62.7742	3
145	549983.4933	9797662.967	62.7742	3
146	550013.4933	9797662.967	57.9347	3
147	550043.4933	9797662.967	54.592701	1
148	550073.4933	9797662.967	54.592701	1
149	550103.4933	9797662.967	54.592701	1
150	550133.4933	9797662.967	54.592701	1
151	550163.4933	9797662.967	54.666199	1
152	550193.4933	9797662.967	56.478401	1
153	550223.4933	9797662.967	58.410702	1
154	550253.4933	9797662.967	60.706699	2
155	550283.4933	9797662.967	62.565601	1
156	550313.4933	9797662.967	63.5215	1
157	550343.4933	9797662.967	63.4091	1
158	550373.4933	9797662.967	62.659302	1
159	550403.4933	9797662.967	61.981899	1
160	550433.4933	9797662.967	61.017502	1
161	550463.4933	9797662.967	59.928699	1
162	550493.4933	9797662.967	58.794998	1
163	548903.4933	9797692.967	96.876297	1
164	548933.4933	9797692.967	94.927498	1
165	548963.4933	9797692.967	93.092499	1
166	548993.4933	9797692.967	91.524803	1
167	549023.4933	9797692.967	90.523499	1
168	549053.4933	9797692.967	89.7948	1
169	549083.4933	9797692.967	89.299004	1
170	549113.4933	9797692.967	88.919098	1
171	549143.4933	9797692.967	88.5849	1
172	549173.4933	9797692.967	88.330399	1
173	549203.4933	9797692.967	88.023499	1
174	549233.4933	9797692.967	88.027397	1
175	549263.4933	9797692.967	88.216797	1
176	549293.4933	9797692.967	88.812698	1
177	549323.4933	9797692.967	89.299202	1
178	549353.4933	9797692.967	89.270599	1
179	549383.4933	9797692.967	88.259499	1
180	549413.4933	9797692.967	85.849602	1
181	549443.4933	9797692.967	83.280403	1
182	549473.4933	9797692.967	81.427902	1
183	549503.4933	9797692.967	80.984802	1
184	549533.4933	9797692.967	80.943802	1
185	549563.4933	9797692.967	80.6726	1
186	549593.4933	9797692.967	79.480301	1
187	549623.4933	9797692.967	77.9776	1
188	549653.4933	9797692.967	76.294701	1
189	549683.4933	9797692.967	75.115501	1
190	549713.4933	9797692.967	74.0513	1
191	549743.4933	9797692.967	73.023903	1
192	549773.4933	9797692.967	71.963402	1
193	549803.4933	9797692.967	71.067802	1
194	549833.4933	9797692.967	70.7118	1
195	549863.4933	9797692.967	70.500298	1
196	549893.4933	9797692.967	69.621498	1
197	549923.4933	9797692.967	67.220901	3
198	549953.4933	9797692.967	63.0033	3
199	549983.4933	9797692.967	63.0033	3
200	550013.4933	9797692.967	58.487598	3
201	550043.4933	9797692.967	54.844501	1
202	550073.4933	9797692.967	54.592701	1
203	550103.4933	9797692.967	54.592701	1
204	550133.4933	9797692.967	54.592701	1
205	550163.4933	9797692.967	54.6614	1
206	550193.4933	9797692.967	56.747898	1
207	550223.4933	9797692.967	59.172199	2
208	550253.4933	9797692.967	61.756901	2
209	550283.4933	9797692.967	63.9011	1
210	550313.4933	9797692.967	65.083801	1
211	550343.4933	9797692.967	65.036301	1
212	550373.4933	9797692.967	64.274101	1
213	550403.4933	9797692.967	63.3568	1
214	550433.4933	9797692.967	62.398102	1
215	550463.4933	9797692.967	61.397202	1
216	550493.4933	9797692.967	60.309101	1
217	548903.4933	9797722.967	97.7183	1
218	548933.4933	9797722.967	95.966599	1
219	548963.4933	9797722.967	94.113701	1
220	548993.4933	9797722.967	92.461601	1
221	549023.4933	9797722.967	91.0364	1
222	549053.4933	9797722.967	90.023804	1
223	549083.4933	9797722.967	89.403	1
224	549113.4933	9797722.967	89.014503	1
225	549143.4933	9797722.967	88.805397	1
226	549173.4933	9797722.967	88.623398	1
227	549203.4933	9797722.967	88.723602	1
228	549233.4933	9797722.967	88.8284	1
229	549263.4933	9797722.967	88.887901	1
230	549293.4933	9797722.967	89.141899	1
231	549323.4933	9797722.967	89.409798	1
232	549353.4933	9797722.967	89.4291	1
233	549383.4933	9797722.967	88.495499	1
234	549413.4933	9797722.967	85.910698	2
235	549443.4933	9797722.967	83.181602	1
236	549473.4933	9797722.967	81.284698	1
237	549503.4933	9797722.967	80.916496	1
238	549533.4933	9797722.967	80.849602	1
239	549563.4933	9797722.967	80.257401	1
240	549593.4933	9797722.967	78.824501	1
241	549623.4933	9797722.967	77.422897	1
242	549653.4933	9797722.967	76.048897	1
243	549683.4933	9797722.967	75.147598	1
244	549713.4933	9797722.967	74.123596	1
245	549743.4933	9797722.967	73.053497	1
246	549773.4933	9797722.967	71.9814	1
247	549803.4933	9797722.967	71.021301	1
248	549833.4933	9797722.967	70.329002	1
249	549863.4933	9797722.967	70.027802	1
250	549893.4933	9797722.967	69.450302	1
251	549923.4933	9797722.967	67.548698	2
252	549953.4933	9797722.967	63.6656	3
253	549983.4933	9797722.967	63.6656	3
254	550013.4933	9797722.967	59.3633	3
255	550043.4933	9797722.967	55.632099	2
256	550073.4933	9797722.967	54.592701	1
257	550103.4933	9797722.967	54.592701	1
258	550133.4933	9797722.967	54.592701	1
259	550163.4933	9797722.967	54.592701	1
260	550193.4933	9797722.967	56.7491	2
261	550223.4933	9797722.967	59.618198	2
262	550253.4933	9797722.967	62.5028	2
263	550283.4933	9797722.967	64.908798	1
264	550313.4933	9797722.967	66.346001	1
265	550343.4933	9797722.967	66.426102	1
266	550373.4933	9797722.967	65.737	1
267	550403.4933	9797722.967	64.574799	1
268	550433.4933	9797722.967	63.645401	1
269	550463.4933	9797722.967	62.779499	1
270	550493.4933	9797722.967	61.831001	1
271	548903.4933	9797752.967	97.954002	1
272	548933.4933	9797752.967	96.339401	1
273	548963.4933	9797752.967	94.679901	1
274	548993.4933	9797752.967	93.1576	1
275	549023.4933	9797752.967	91.3647	1
276	549053.4933	9797752.967	90.306602	1
277	549083.4933	9797752.967	89.536301	1
278	549113.4933	9797752.967	89.073601	1
